,Aka,Bethlehem,Dura,Haifa,Halhoul,Hebron,Jenin,Jericho,Jerusalem,Nablus,Nazareth,Qalqilya,Ramallah,Ramleh,Sabastia,Safad,Salfit,Tubas,Tulkarm,Yafa
Aka,0,"132,181","158,209","15,35,25","150,199","155,210","56,75","125,192","130,169","102,112","33,41","82,106","111,159","113,170","74,101","40,54,47","94,144","73,93","69,87","98,121"
Bethlehem,"132,181",0,"32,47","121,153","17,43,30","22,45,34","122,114","29,41,35","7,9,8","77,79","107,145","122,136","30,106","39,177","59,79","139,185","38,55","66,98","111,145","55,71"
Dura,"158,209","32,47",0,"146,189","11,40","7,11,9","109,160","57,90","34,55","63,125","135,191","77,127","54,71","49,225","87,133","169,231","66,101","96,145","89,136","68,103"
Haifa,"15,35,25","121,153","146,189",0,"138,165","144,182","49,118,84","116,168","119,145","93,96","32,60,46","69,83","101,135","100,105","63,85","50,72","84,120","66,80","57,70","84,97"
Halhoul,"150,199","17,43,30","11,40","138,165",0,"5,8,6","100,139","46,68","24,33","53,103","126,169","69,103","44,50","45,62","78,111","159,210","57,79","86,123","82,111","63,79"
Hebron,"155,210","22,45,34","7,11,9","144,182","5,8,6",0,"109,152","70,82","34,46","101,177","131,183","146,190","54,63","49,78","83,124","165,223","62,92","92,136","134,145","68,95"
Jenin,"56,75","122,114","109,160","49,118,84","100,139","109,152",0,"109,124","112,127","43,50","27,41,34","63,64","93,95","72,90","23,34,29","60,75","43,63","17,30,24","52,68","64,84"
Jericho,"125,192","29,41,35","57,90","116,168","46,68","70,82","109,124",0,"38,40","44,130,87","95,137","102,107","20,53,37","57,74","53,96","124,166","37,69","52,108","99,112","69,90"
Jerusalem,"130,169","7,9,8","34,55","119,145","24,33","34,46","112,127","38,40",0,"67,71","104,137","105,107","21,21,21","38,45,42","56,79","136,178","35,47","63,91","99,105","54,66"
Nablus,"102,112","77,79","63,125","93,96","53,103","101,177","43,50","44,130,87","67,71",0,"75,84","27,111,69","30,44,37","41,75","8,33,21","107,111","16,80,48","15,22,19","29,33","48,68"
Nazareth,"33,41","107,145","135,191","32,60,46","126,169","131,183","27,41,34","95,137","104,137","75,84",0,"64,82","84,121","95,111","48,58","35,85,60","69,94","42,50","50,65","85,105"
Qalqilya,"82,106","122,136","77,127","69,83","69,103","146,190","63,64","102,107","105,107","27,111,69","64,82",0,"49,68","31,43","23,36","99,126","38,48","40,58","34,43","22,48,35"
Ramallah,"111,159","30,106","54,71","101,135","44,50","54,63","93,95","20,53,37","21,21,21","30,44,37","84,121","49,68",0,"39,45,42","37,63","116,164","18,38,28","43,74","80,82","49,62"
Ramleh,"113,170","39,177","49,225","100,105","45,62","49,78","72,90","57,74","38,45,42","41,75","95,111","31,43","39,45,42",0,"50,67","130,156","35,51","64,69","45,52","19,20,20"
Sabastia,"74,101","59,79","87,133","63,85","78,111","83,124","23,34,29","53,96","56,79","8,33,21","48,58","23,36","37,63","50,67",0,"82,101","21,35","17,22","17,36,27","45,61"
Safad,"40,54,47","139,185","169,231","50,72","159,210","165,223","60,75","124,166","136,178","107,111","35,85,60","99,126","116,164","130,156","82,101",0,"103,137","73,93","86,109","120,149"
Salfit,"94,144","38,55","66,101","84,120","57,79","62,92","43,63","37,69","35,47","16,80,48","69,94","38,48","18,38,28","35,51","21,35","103,137",0,"32,47","29,53","38,56"
Tubas,"73,93","66,98","96,145","66,80","86,123","92,136","17,30,24","52,108","63,91","15,22,19","42,50","40,58","43,74","64,69","17,22","73,93","32,47",0,"32,39","61,83"
Tulkarm,"69,87","111,145","89,136","57,70","82,111","134,145","52,68","99,112","99,105","29,33","50,65","34,43","80,82","45,52","17,36,27","86,109","29,53","32,39",0,"35,46"
Yafa,"98,121","55,71","68,103","84,97","63,79","68,95","64,84","69,90","54,66","48,68","85,105","22,48,35","49,62","19,20,20","45,61","120,149","38,56","61,83","35,46",0
